ID,Title,Authors,Publication Date,Journal,DOI
39024674,Targeting mitochondrial dysfunction in atopic dermatitis with trilinolein: A triacylglycerol from the medicinal plant Cannabis fructus.,"Wang Y, Lu H, Cheng L, Guo W, Hu Y, Du X, Liu X, Xu M, Liu Y, Zhang Y, Xi R, Wang P, Liu X, Duan Y, Zhu J, Li F",2024 Sep,Phytomedicine,10.1016/j.phymed.2024.155856
38933893,Can Google Help Your Nearsightedness? A Google Trend Analysis of Public Interest in Myopic Progression.,"Panneerselvam S, Diklich N, Tijerina J, Falcone MM, Cavuoto KM",2024,Clin Ophthalmol,10.2147/OPTH.S460423
38798947,Chagas disease in the United States: a call for increased investment and collaborative research.,"Agudelo Higuita NI, Beatty NL, Forsyth C, Henao-Martínez AF, Manne-Goehler J, US Chagas Research Consortium",2024 Jun,Lancet Reg Health Am,10.1016/j.lana.2024.100768
38664889,Central sensitivity syndrome affects the disease activity index and treatment satisfaction in patients with rheumatoid arthritis.,"Seki K, Imagama T, Seki T, Okazaki T, Sakai T",2024 Apr,Int J Rheum Dis,10.1111/1756-185X.15159
38464434,Analysis of patient-directed search content and online resource quality for ulnar collateral ligament injury and surgery.,"McCormick JR, Harkin WE, Hodakowski AJ, Streepy JT, Khan ZA, Mowers CC, Urie BR, Jawanda HS, Jackson GR, Chahla J, Garrigues GE, Verma NN",2024 Mar,JSES Int,10.1016/j.jseint.2023.11.017
38461126,Video accounts of first year pharmacy students' identification with the oath of a pharmacist.,"Ware KB, Burn HS",2024 May,Curr Pharm Teach Learn,10.1016/j.cptl.2024.02.008
38166233,Pancreatic Cancer Action Network's SPARK: A Cloud-Based Patient Health Data and Analytics Platform for Pancreatic Cancer.,"Abdilleh K, Khalid O, Ladnier D, Wan W, Seepo S, Rupp G, Corelj V, Worman ZF, Sain D, DiGiovanna J, Press B, Chandrashekhar S, Collisson E, Cui KY, Maitra A, Rejto PA, White KP, Matrisian L, Doss S",2024 Jan,JCO Clin Cancer Inform,10.1200/CCI.23.00119
38052327,Family Constellation therapy: A nascent approach for working with non-local consciousness in a therapeutic container.,Cohen D PhD,2024 Jan,Prog Biophys Mol Biol,10.1016/j.pbiomolbio.2023.11.008
38000214,Design and synthesis of novel hederagonic acid analogs as potent anti-inflammatory compounds capable of protecting against LPS-induced acute lung injury.,"Li H, Xie W, Gao X, Geng Z, Gao J, Ma G, Liu X, Han S, Chen Y, Wen X, Bi Y, Zhang L",2024 Jan 5,Eur J Med Chem,10.1016/j.ejmech.2023.115941
37823708,Physician Assessment of ChatGPT and Bing Answers to American Cancer Society's Questions to Ask About Your Cancer.,"Janopaul-Naylor JR, Koo A, Qian DC, McCall NS, Liu Y, Patel SA",2024 Jan 1,Am J Clin Oncol,10.1097/COC.0000000000001050
37678719,Who's your data? Primary immune deficiency differential diagnosis prediction via machine learning and data mining of the USIDNET registry.,"Méndez Barrera JA, Rocha Guzmán S, Hierro Cascajares E, Garabedian EK, Fuleihan RL, Sullivan KE, Lugo Reyes SO",2023 Oct,Clin Immunol,10.1016/j.clim.2023.109759
37457523,"Redefining venereology practice in Tamil Nadu, South India - Nakshatra Health - A networking model.","Periasamy M, Mohankumar V, Shanmugam V, Selvakumar M, Pandian SM, Sridharan L",2023 Jan-Jun,Indian J Sex Transm Dis AIDS,10.4103/ijstd.ijstd_13_23
37309825,Do You Like Your Voice? A Population-Based Survey of Voice Satisfaction and Voice Enhancement.,"Naunheim MR, Puka E, Huston MN",2023 Dec,Laryngoscope,10.1002/lary.30822
37159309,Making a Bird AI Expert Work for You and Me.,"Chang D, Pang K, Du R, Tong Y, Song YZ, Ma Z, Guo J",2023 Oct,IEEE Trans Pattern Anal Mach Intell,10.1109/TPAMI.2023.3274593
37044348,Resilience or efficiency? Strategic options for sustainable development of agricultural systems in ecologically fragile areas of China.,"Tao T, Ma L, Wang X, Wu S, Shi Z, Cui X",2023 Jul 10,Sci Total Environ,10.1016/j.scitotenv.2023.163411
36857204,"When Death Hits You in Your Face, You Have to Listen"": A Qualitative Investigation of Peer Bereavement Support Volunteers in Black American Communities.","Adams L, Athey A, Brooks K, Lazarus K, DeVinney A, Leaf PJ",2023 Mar 1,Omega (Westport),10.1177/00302228231161816
36241078,Unwanted sexual activity among United States women early in the COVID-19 pandemic.,"Lindau ST, Jagai JS, Abramsohn EM, Fuller CM, Wroblewski KE, Pinkerton EA, Makelarski JA",2023 Feb,Am J Obstet Gynecol,10.1016/j.ajog.2022.09.048
36167331,TEMPORARY REMOVAL: Direct oral anticoagulants in antithrombin deficiency: initial experience in a single center.,"Bhoelan S, Mulder R, Lukens MV, Meijer K",2022 Sep 27,Thromb Haemost,10.1055/a-1951-1705
36129504,Unleash your inner author: Getting published in a professional nursing journal.,Baker KG,2022 Oct 1,Nursing,10.1097/01.NURSE.0000872468.88171.f9
36030182,How Informed Is Your Informed Consent: Evaluating Differences Between Resident and Attending Obtained Consents for Cholecystectomy.,"Singer KE, Baker JE, Elson NC, Wallen TE, Salvator A, Quillin RC, Sussman JJ, Makley AT, Goodman MD",2022 Nov-Dec,J Surg Educ,10.1016/j.jsurg.2022.07.021
35837949,Modifiable Factors Related to Firearm Homicides: A Broader View of Our Lane.,"Scantling DR, Holena DN, Kaufman EJ, Hynes AM, Hatchimonji J, Byrne JP, Wiebe D, Seamon MJ",2023 Aug 1,Ann Surg,10.1097/SLA.0000000000005535
35210143,Establishing the Substantial Clinical Benefit in a Non-Shoulder Hand and Upper Extremity Population for the QuickDASH and PROMIS Upper Extremity and Physical Function Computer Adaptive Tests.,"Hubbard JC, Zhang Y, Qiu Y, Yoo M, Stephens AR, Zeidan M, Kazmers NH",2022 Apr,J Hand Surg Am,10.1016/j.jhsa.2021.12.013
35095245,Perspective-taking and hindsight bias: When the target is oneself and/or a peer.,Hom HL Jr,2022 Jan 22,Curr Psychol,10.1007/s12144-021-02413-z
34988359,Tele-monitoring flares using a smartphone app in patients with gout or suspected gout: a feasibility study.,"Pouls BPH, Bekker CL, Gaffo AL, van den Bemt BJF, Flendrie M",2021,Rheumatol Adv Pract,10.1093/rap/rkab100
34622852,"The impact of COVID-19 on mentoring early-career investigators: ""Everything can wait. Listen more than usual and share your own struggles"".","Johnson MO, Gandhi M, Fuchs JD, Sterling L, Sauceda JA, Saag MS, Riley ED, Sevelius JM",2021 Oct 8,Medicine (Baltimore),10.1097/MD.0000000000027423
34393957,Living in the Era of an Ideological Climate of Globalisation: A Study of Psychological Sense of Community Among Young and Older Adults in Two Cultures (India and Norway). Challenges for Community Psychology and the Applied Social Sciences.,"Bahl NKH, Nafstad HE, Blakar RM, Langvik E",2021,Front Psychol,10.3389/fpsyg.2021.718190
34172295,"Unintentional firearm mortality in African-American youths, 2010-2019.","Price JH, Khubchandani J, Foh EP",2021 Oct,J Natl Med Assoc,10.1016/j.jnma.2021.05.009
33985481,Exploring drivers of patient satisfaction using a random forest algorithm.,"Simsekler MCE, Alhashmi NH, Azar E, King N, Luqman RAMA, Al Mulla A",2021 May 13,BMC Med Inform Decis Mak,10.1186/s12911-021-01519-5
33865130,Modeling the effects of temperature on the migration and transformation of nitrate during riverbank filtration using HYDRUS-2D.,"Pan W, Huang Q, Huang G, Xing L",2021 Aug 20,Sci Total Environ,10.1016/j.scitotenv.2021.146656
33764475,Perceived Limitations of Walking in Individuals With Cerebral Palsy.,"Nelson JA, Boyer ER",2021 Jul 1,Phys Ther,10.1093/ptj/pzab102
33635955,The use of 3D printing for osteopathic medical education of rib disorders.,"Moriles K, Ramnot A, Lai M, Jacobs RJ, Qureshi Y",2021 Mar 1,J Osteopath Med,10.1515/jom-2020-0020
33289894,Mustguseal and Sister Web-Methods: A Practical Guide to Bioinformatic Analysis of Protein Superfamilies.,"Suplatov D, Sharapova Y, Švedas V",2021,Methods Mol Biol,10.1007/978-1-0716-1036-7_12
33249470,Identifying the Best Questions for Rapid Screening of Secondhand Smoke Exposure Among Children.,"Ksinan AJ, Sheng Y, Do EK, Schechter JC, Zhang JJ, Maguire RL, Hoyo C, Murphy SK, Kollins SH, Rubin B, Fuemmeler BF",2021 Jun 8,Nicotine Tob Res,10.1093/ntr/ntaa254
33219682,FlyBase: updates to the Drosophila melanogaster knowledge base.,"Larkin A, Marygold SJ, Antonazzo G, Attrill H, Dos Santos G, Garapati PV, Goodman JL, Gramates LS, Millburn G, Strelets VB, Tabone CJ, Thurmond J, FlyBase Consortium",2021 Jan 8,Nucleic Acids Res,10.1093/nar/gkaa1026
32950600,Atranones from Stachybotrys chartarum and their antitumor activities in MG-63 human osteosarcoma cells.,"Qin YD, Fang FM, Zhou JJ, Wang RB, Xu SX, Li LH, Zhang HL",2020 Oct,Fitoterapia,10.1016/j.fitote.2020.104727
32544642,Parental concern as an indicator of the severity of Obstructive Sleep Apnea in children.,"Lavi M, Tauman R, Greenfeld M, Fishman G, Wasserzug O, DeRowe A",2020 Sep,Int J Pediatr Otorhinolaryngol,10.1016/j.ijporl.2020.110144
32419168,Determinants of self-perceived oral health in adolescents: A cross-sectional study.,"Nascimento M, Cunha Soares F, Dahllöf G, Burgos Souto Maior G, Kvist T, Colares V",2021 Mar,Int J Paediatr Dent,10.1111/ipd.12664
32202928,Perceptions of Patient HIV Risk by Primary Care Providers in High-HIV Prevalence Areas in the Southern United States.,"Drumhiller K, Geter A, Elmore K, Gaul Z, Sutton MY",2020 Mar,AIDS Patient Care STDS,10.1089/apc.2019.0219
32073330,Does adolescent self-reported TMD pain persist into early adulthood? A longitudinal study.,"Nilsson IM, List T",2020 Jul,Acta Odontol Scand,10.1080/00016357.2020.1730000
32063429,A Fun Way to Learn About Diabetes: Using Therapeutic Play in a Brazilian Camp.,"La Banca RO, Brandão MCM, Sparapani VC, de Souza NS, Neves ET, Cavicchioli MGS, de Lima RAG, Nascimento LC",2020 Jul-Aug,J Pediatr Nurs,10.1016/j.pedn.2020.02.002
31989202,"Subjective versus objective determination of bladder emptying following urogynecological surgery: ""do you feel that you completely emptied your bladder?"".","Kesty K, Edenfield A, Castro D, Medina L, Naser M, Manríquez V, Swift S",2020 Sep,Int Urogynecol J,10.1007/s00192-019-04216-0
31739910,Search at Your Own Risk: Online Health Queries and Your Patient.,Green-Hopkins I,2019 Oct,J Emerg Med,10.1016/j.jemermed.2019.06.044
30887023,Health assistant: answering your questions anytime from biomedical literature.,"Jin ZX, Zhang BW, Fang F, Zhang LL, Yin XC",2019 Oct 15,Bioinformatics,10.1093/bioinformatics/btz195
30519459,Improve your Galaxy text life: The Query Tabular Tool.,"Johnson JE, Kumar P, Easterly C, Esler M, Mehta S, Eschenlauer AC, Hegeman AD, Jagtap PD, Griffin TJ",2018,F1000Res,10.12688/f1000research.16450.2
30577942,The Forest and the Trees: Evidence-Based Medicine in the Age of Information.,"Courtney DB, Bennett K, Szatmari P",2019 Jan,J Am Acad Child Adolesc Psychiatry,10.1016/j.jaac.2018.06.035
30505731,What about the partner? -factors associated with patient-perceived partner dyspareunia in men with Peyronie's disease.,"Meng Y, Yang DY, Hebert KM, Savage JB, Alom M, Kohler TS, Trost L",2018 Dec,Transl Androl Urol,10.21037/tau.2018.07.20
30439630,"""What if she was your mother?"" Toward better responses.","Bibler TM, Miller SM",2019 Feb,J Crit Care,10.1016/j.jcrc.2018.10.031
30338027,"Draft genome sequences of 'Candidatus Chloroploca asiatica' and 'Candidatus Viridilinea mediisalina', candidate representatives of the Chloroflexales order: phylogenetic and taxonomic implications.","Grouzdev DS, Rysina MS, Bryantseva IA, Gorlenko VM, Gaisin VA",2018,Stand Genomic Sci,10.1186/s40793-018-0329-8
30212753,It's all in your head: Expectations create illusory perception in a dual-task setup.,"Aru J, Tulver K, Bachmann T",2018 Oct,Conscious Cogn,10.1016/j.concog.2018.09.001
29625571,Language-concordant automated telephone queries to assess medication adherence in a diverse population: a cross-sectional analysis of convergent validity with pharmacy claims.,"Ratanawongsa N, Quan J, Handley MA, Sarkar U, Schillinger D",2018 Apr 6,BMC Health Serv Res,10.1186/s12913-018-3071-4
29220078,Using the Seven Bridges Cancer Genomics Cloud to Access and Analyze Petabytes of Cancer Data.,"Malhotra R, Seth I, Lehnert E, Zhao J, Kaushik G, Williams EH, Sethi A, Davis-Dusenbery BN",2017 Dec 8,Curr Protoc Bioinformatics,10.1002/cpbi.39
29184624,Is your article EV-TRACKed?,"Van Deun J, Hendrix A, EV-TRACK consortium",2017,J Extracell Vesicles,10.1080/20013078.2017.1379835
29141787,The five things we all need to know about MACRA and alternative payment systems to compete and flourish.,Dalsing MC,2018 Mar,J Vasc Surg,10.1016/j.jvs.2017.09.012
28778852,Psychiatric Consultation at Your Fingertips: Descriptive Analysis of Electronic Consultation From Primary Care to Psychiatry.,"Lowenstein M, Bamgbose O, Gleason N, Feldman MD",2017 Aug 4,J Med Internet Res,10.2196/jmir.7921
28766442,Copyright query.,Cornock M,2017 Aug 2,Nurs Stand,10.7748/ns.31.49.30.s25
28462482,"What do people search online concerning the ""elusive"" fibromyalgia? Insights from a qualitative and quantitative analysis of Google Trends.","Bragazzi NL, Amital H, Adawi M, Brigo F, Watad S, Aljadeff G, Amital D, Watad A",2017 Aug,Clin Rheumatol,10.1007/s10067-017-3665-y
28294095,"The simple query ""Do you want more pain medication?"" is not a reliable way to assess acute pain relief in patients in the emergency department.","Chauny JM, Marquis M, Paquet J, Lavigne G, Cournoyer A, Manzini C, Daoust R",2018 Jan,CJEM,10.1017/cem.2017.2
28011789,myGenomeBrowser: building and sharing your own genome browser.,"Carrere S, Gouzy J",2017 Apr 15,Bioinformatics,10.1093/bioinformatics/btw800
27776758,It depends on your perspective: Resident satisfaction with operative experience.,"Perone JA, Fankhauser GT, Adhikari D, Mehta HB, Woods MB, Tyler DS, Brown KM",2017 Feb,Am J Surg,10.1016/j.amjsurg.2016.09.042
27455539,"Further queries regarding ""What Is Your Diagnosis?"".",Henry RW,2016 Apr 1,J Am Vet Med Assoc,
31008193,Reforming Your Health Care Reform Curriculum.,"Friedman K, Sagar A, Chaudhry S",2016 Jun 10,MedEdPORTAL,10.15766/mep_2374-8265.10413
27166460,Educating registrars in your practice.,"Wearne SM, Butler L, Jones JA",2016 May,Aust Fam Physician,
27058842,"Quantifying Glaucoma Medication Adherence: The Relationship Between Self-Report, Electronic Monitoring, and Pharmacy Refill.","Kumar JB, Bosworth HB, Sleath B, Woolson S, Olsen M, Danus S, Muir KW",2016 Jul-Aug,J Ocul Pharmacol Ther,10.1089/jop.2015.0102
26587953,Medicolegal--Malpractice and Ethical Issues in Radiology. In Response to Your Query About Temporary Loss of Mammography Accreditation.,Berlin L,2015 Dec,AJR Am J Roentgenol,10.2214/AJR.15.14591
26578587,BioGPS: building your own mash-up of gene annotations and expression profiles.,"Wu C, Jin X, Tsueng G, Afrasiabi C, Su AI",2016 Jan 4,Nucleic Acids Res,10.1093/nar/gkv1104
26398645,Telemedicine: Development of a distance care system for pre-dialysis chronic kidney disease patients.,"Fernandes NM, Bastos MG, Oliveira NA, Costa Ado V, Bernardino HS",2015 Jul-Sep,J Bras Nefrol,10.5935/0101-2800.20150055
26344862,Self-Reported Acute and Chronic Voice Disorders in Teachers.,"Rossi-Barbosa LA, Barbosa MR, Morais RM, de Sousa KF, Silveira MF, Gama AC, Caldeira AP",2016 Nov,J Voice,10.1016/j.jvoice.2015.08.003
26220816,Remote Usability Testing and Satisfaction with a Mobile Health Medication Inquiry System in CKD.,"Diamantidis CJ, Ginsberg JS, Yoffe M, Lucas L, Prakash D, Aggarwal S, Fink W, Becker S, Fink JC",2015 Aug 7,Clin J Am Soc Nephrol,10.2215/CJN.12591214
26132000,Using the PhenX Toolkit to Add Standard Measures to a Study.,"Hendershot T, Pan H, Haines J, Harlan WR, Marazita ML, McCarty CA, Ramos EM, Hamilton CM",2015 Jul 1,Curr Protoc Hum Genet,10.1002/0471142905.hg0121s86
25888474,"Establishing a population-based patient-reported outcomes study (PROMs) using national cancer registries across two jurisdictions: the Prostate Cancer Treatment, your experience (PiCTure) study.","Drummond FJ, Kinnear H, Donnelly C, O'Leary E, O'Brien K, Burns RM, Gavin A, Sharp L",2015 Apr 17,BMJ Open,10.1136/bmjopen-2014-006851
24614997,"How to improve your PubMed/MEDLINE searches: 3. advanced searching, MeSH and My NCBI.","Fatehi F, Gray LC, Wootton R",2014 Mar,J Telemed Telecare,10.1177/1357633X13519036
24500270,US consumer interest in non-cigarette tobacco products spikes around the 2009 federal tobacco tax increase.,"Jo CL, Ayers JW, Althouse BM, Emery S, Huang J, Ribisl KM",2015 Jul,Tob Control,10.1136/tobaccocontrol-2013-051261
24411434,The role of the nonphysician educator in general surgery residency training: from outcome project and duty-hours restrictions to the next accreditation system and milestones.,"Tarpley MJ, Davidson MA, Tarpley JL",2014 Jan-Feb,J Surg Educ,10.1016/j.jsurg.2013.06.004
24352897,"How to improve your PubMed/MEDLINE searches: 2. display settings, complex search queries and topic searching.","Fatehi F, Gray LC, Wootton R",2014 Jan,J Telemed Telecare,10.1177/1357633X13517067
24303243,"Don't take your EHR to heaven, donate it to science: legal and research policies for EHR post mortem.","Huser V, Cimino JJ",2013,AMIA Jt Summits Transl Sci Proc,
24300988,Intraoperative monitoring: do you know where your neurophysiologist is?,Galloway GM,2013 Dec,J Clin Neurophysiol,10.1097/01.wnp.0000436886.26090.6d
24286941,Know your market: use of online query tools to quantify trends in patient information-seeking behavior for varicose vein treatment.,"Harsha AK, Schmitt JE, Stavropoulos SW",2014 Jan,J Vasc Interv Radiol,10.1016/j.jvir.2013.09.015
24152654,"Tips for a physician in getting the right job, part VI: some possible interview questions for an executive position.",Harolds JA,2014 Jan,Clin Nucl Med,10.1097/RLU.0000000000000262
24134814,[Smoking prevention in preoperative patient factsheets].,"Dautzenberg B, Pereira ST, Minot C, Osman J, Bougdal M, Dautzenberg MD",2013 Nov,Presse Med,10.1016/j.lpm.2013.04.015
23856366,"Heart research advances using database search engines, Human Protein Atlas and the Sydney Heart Bank.","Li A, Estigoy C, Raftery M, Cameron D, Odeberg J, Pontén F, Lal S, Dos Remedios CG",2013 Oct,Heart Lung Circ,10.1016/j.hlc.2013.06.006
23251359,Your relevance feedback is essential: enhancing the learning to rank using the virtual feature based logistic regression.,"Cai F, Guo D, Chen H, Shu Z",2012,PLoS One,10.1371/journal.pone.0050112
22952256,"Assessing formal teaching of ethics in physiology: an empirical survey, patterns, and recommendations.","Goswami N, Batzel JJ, Hinghofer-Szalkay H",2012 Sep,Adv Physiol Educ,10.1152/advan.00010.2012
22856491,Ventilator-associated pneumonia: depends on your definition.,"Novosel TJ, Hodge LA, Weireter LJ, Britt RC, Collins JN, Reed SF, Britt LD",2012 Aug,Am Surg,
28517308,SU-E-T-218: The IHE-RO Helper Tool: Demonstrating the Connectivity Issues Solved by IHE-RO.,"Kapoor R, Yeung D, Kumar SA, Alex D, Kapur P, Palta J",2012 Jun,Med Phys,10.1118/1.4735280
22628524,"Marker2sequence, mine your QTL regions for candidate genes.","Chibon PY, Schoof H, Visser RG, Finkers R",2012 Jul 15,Bioinformatics,10.1093/bioinformatics/bts298
22461848,Tetanus seropositive prevalence and perceived protection from emergency admissions.,"Moore MA, Barber KR, Britt T",2012,Emerg Health Threats J,10.3402/ehtj.v5i0.7718
22316102,What contributes to self-rated oral health among community-dwelling older adults? Findings from the ElderSmile program.,"Northridge ME, Chakraborty B, Kunzel C, Metcalf S, Marshall S, Lamster IB",2012 Summer,J Public Health Dent,10.1111/j.1752-7325.2012.00313.x
22218388,The occurrence of wrong-site surgery self-reported by candidates for certification by the American Board of Orthopaedic Surgery.,"James MA, Seiler JG 3rd, Harrast JJ, Emery SE, Hurwitz S",2012 Jan 4,J Bone Joint Surg Am,10.2106/JBJS.K.00524
22217224,The relationship between borderline personality disorder and number of sexual partners.,"Sansone RA, Lam C, Wiederman MW",2011 Dec,J Pers Disord,10.1521/pedi.2011.25.6.782
